S#,Title,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,Cities,State,Gun law,Party affiliation
120,Daytona Beach,4/3/2015,0,4,4,No,Black,M,29.19313443,-81.10173014,Daytona Beach,Florida,F,Democrat
122,Panama City Beach,3/28/2015,0,7,7,No,Black,M,30.22540212,-85.87371301,Panama City Beach,Florida,F,Democrat
134,Moon Lake,2/9/2015,3,1,4,No,White,Unknown,28.24653304,-82.71690259,New Port Richey,Florida,F,Democrat
146,Florida State University,11/19/2014,1,3,3,Yes,Black,M,30.454939399999997,-84.25264151,Tallahassee,Florida,F,Democrat
165,Hialeah apartment shooting,7/26/2013,7,0,7,Unknown,Latino,M,25.867010500000003,-80.29146268,Hialeah,Florida,F,Democrat
177,The Spot Nightclub,9/28/2012,0,15,15,Unknown,Black,M,25.79653943,-80.20840397,Miami,Florida,F,Democrat
241,Radisson Bay Harbor Inn,12/30/1999,5,3,8,No,Unknown,M,27.99601861,-82.44503769,Tampa,Florida,F,Democrat
260,Fort Lauderdale revenge shooting,2/9/1996,6,1,7,Yes,Black,M,26.122308399999998,-80.14337859999999,Fort Lauderdale,Florida,F,Democrat
288,GMAC Loan Office,6/17/1990,12,6,17,No,Black,M,30.33216122,-81.67576993,Jacksonville,Florida,F,Democrat
297,Pinellas Park High School,2/11/1988,1,2,3,No,White,M,27.84887061,-82.71058000000001,Pinellas Park,Florida,F,Democrat
298,Palm Bay Shopping Centers,4/23/1987,6,14,20,Yes,White,M,27.98388983,-80.66662713,Palm Bay,Florida,F,Democrat
309,Welding shop in Miami,8/20/1982,9,3,11,Yes,White,M,25.79653943,-80.20840397,Miami,Florida,F,Democrat
5,Rural Ohio nursing home shooting,5/12/2017,3,0,3,Yes,White,M,,,Kirkersville,Ohio,D,Republican
81,"Columbus, Ohio",11/23/2015,4,1,4,Unknown,White,M,39.98861445,-82.98904135,Columbus,Ohio,D,Republican
88,"Colerain Township, Ohio",10/21/2015,2,1,3,Unknown,White,M,39.253268,-84.599655,Colerain Township,Ohio,D,Republican
108,Cleveland,5/31/2015,3,1,3,Unknown,Unknown,M,41.47657557,-81.68051502,Cleveland,Ohio,D,Republican
186,Chardon High School,2/27/2012,3,3,6,Yes,White,M,41.58025541,-81.20812625,Chardon,Ohio,D,Republican
193,Youngstown State University,2/6/2011,1,11,12,Unknown,Black,M,41.09933958,-80.64631705,Youngstown,Ohio,D,Republican
216,SuccessTech Academy,10/11/2007,1,4,4,Yes,White,M,41.47657557,-81.68051502,Cleveland,Ohio,D,Republican
231,Damageplan show at the Alrosa Villa Nightclub,12/8/2004,5,7,11,Yes,White,M,39.98861445,-82.98904135,Columbus,Ohio,D,Republican
235,Case Western Reserve University,5/9/2003,1,2,3,No,Asian,M,41.47657557,-81.68051502,Cleveland,Ohio,D,Republican
267,Wickliffe Middle School,11/7/1994,1,3,4,Yes,White,M,41.60713735,-81.46902046,Wickliffe,Ohio,D,Republican
8,Cascade Mall shooting,9/23/2016,5,0,5,Yes,Unknown,M,,,Burlington,Washington,B,Democrat
48,"Belfair, Washington",2/26/2016,5,0,4,Unknown,White,M,47.5033,-122.931,Belfair,Washington,B,Democrat
